ID,Name,description,Imageurl,ReleaseDate,DiscontinueDate,Price,Height,Width,Depth,Quantity
1,"Gaming Laptop","High-performance laptop for gaming","https://example.com/img/laptop1.jpg","2023-02-10T00:00:00Z","2026-12-31T00:00:00Z",1499.99,2.30,35.80,24.50,120.00
2,"Wireless Mouse","Ergonomic wireless mouse","https://example.com/img/mouse1.jpg","2022-09-05T00:00:00Z","2025-12-31T00:00:00Z",29.99,3.20,6.00,10.00,350.00
3,"Mechanical Keyboard","RGB mechanical keyboard","https://example.com/img/keyboard1.jpg","2021-11-15T00:00:00Z","2024-12-31T00:00:00Z",89.90,4.50,44.00,13.50,80.00
4,"4K Monitor","27-inch UHD display","https://example.com/img/monitor1.jpg","2023-06-01T00:00:00Z","2027-12-31T00:00:00Z",399.00,45.30,62.10,18.00,40.00
5,"USB-C Hub","Multiport USB-C adapter","https://example.com/img/hub1.jpg","2023-01-20T00:00:00Z","2025-12-31T00:00:00Z",49.99,1.80,10.20,6.50,500.00
6,"Bluetooth Speaker","Portable speaker with bass enhancement","https://example.com/img/speaker1.jpg","2022-04-12T00:00:00Z","2024-12-31T00:00:00Z",79.50,12.40,8.90,8.90,150.00
7,"Smartphone","128GB modern smartphone","https://example.com/img/phone1.jpg","2023-08-18T00:00:00Z","2026-12-31T00:00:00Z",899.00,0.80,7.40,15.10,200.00
8,"Tablet","10-inch Android tablet","https://example.com/img/tablet1.jpg","2022-02-01T00:00:00Z","2025-12-31T00:00:00Z",299.00,0.70,16.80,24.00,95.00
9,"Smartwatch","Water-resistant smartwatch","https://example.com/img/watch1.jpg","2023-03-15T00:00:00Z","2026-12-31T00:00:00Z",199.99,0.50,4.00,4.00,180.00
10,"External SSD","1TB portable SSD","https://example.com/img/ssd1.jpg","2021-05-10T00:00:00Z","2024-12-31T00:00:00Z",129.90,0.60,7.00,10.20,300.00
